Citizenship Country (UN),Session Year,Session Year (copy),Student Level ,Latitude,Longitude,Students
Zimbabwe,2016,2016,Undergraduate,-19.098,30.047,20
Zambia,2016,2016,Undergraduate,-15.13,25.268,9
Yemen,2016,2016,Undergraduate,15.569,47.793,4
Vietnam,2016,2016,Undergraduate,21.75,105.373,76
Venezuela,2016,2016,Undergraduate,6.983,-64.588,17
Vanuatu,2016,2016,Undergraduate,-15.339,166.89,1
Uzbekistan,2016,2016,Undergraduate,41.757,63.958,6
Uruguay,2016,2016,Undergraduate,-32.948,-56.249,2
United States,2016,2016,Undergraduate,40.0792,-98.8164,1038
Tanzania,2016,2016,Undergraduate,-5.651,34.146,34
United Kingdom,2016,2016,Undergraduate,52.289,-1.259,257
United Arab Emirates,2016,2016,Undergraduate,23.9299,53.9031,20
Ukraine,2016,2016,Undergraduate,49.364,32.132,29
Uganda,2016,2016,Undergraduate,1.9392,32.7415,20
Turkmenistan,2016,2016,Undergraduate,39.584,59.597,1
Turkey,2016,2016,Undergraduate,39.144,34.188,105
Tunisia,2016,2016,Undergraduate,35.594,9.421,5
Trinidad and Tobago,2016,2016,Undergraduate,10.448,-61.257,6
Republic of Macedonia,2016,2016,Undergraduate,41.636,21.676,2
Thailand,2016,2016,Undergraduate,15.688,100.845,124
Taiwan,2016,2016,Undergraduate,23.513,120.797,162
Syria,2016,2016,Undergraduate,35.303,38.322,11
Switzerland,2016,2016,Undergraduate,46.7794,8.0329,60
Sweden,2016,2016,Undergraduate,66.2188,19,45
Swaziland,2016,2016,Undergraduate,-26.596,31.47,3
Sudan,2016,2016,Undergraduate,15.739,29.533,4
Sri Lanka,2016,2016,Undergraduate,7.3,80.727,11
Spain,2016,2016,Undergraduate,40.617,-3.388,45
South Africa,2016,2016,Undergraduate,-31.7,23.441,20
Somalia,2016,2016,Undergraduate,2.875,43.446,38
Slovenia,2016,2016,Undergraduate,46.037,14.534,5
Slovakia,2016,2016,Undergraduate,48.8595,19.4434,5
Singapore,2016,2016,Undergraduate,1.364,103.81,192
Sierra Leone,2016,2016,Undergraduate,8.677,-11.779,2
Serbia,2016,2016,Undergraduate,44.021,20.699,2
Senegal,2016,2016,Undergraduate,15.044,-15.081,6
Saudi Arabia,2016,2016,Undergraduate,24.191,44.32,52
Saint Vincent and the Grenadines,2016,2016,Undergraduate,13.234,-61.202,1
Saint Lucia,2016,2016,Undergraduate,13.865,-60.98,1
Saint Kitts and Nevis,2016,2016,Undergraduate,17.147,-62.58,1
Rwanda,2016,2016,Undergraduate,-1.887,29.904,12
Russia,2016,2016,Undergraduate,64.736,104.062,86
Romania,2016,2016,Undergraduate,45.933,25.119,7
Moldova,2016,2016,Undergraduate,47.524,28.444,1
South Korea,2016,2016,Undergraduate,36.338,128.16,453
Qatar,2016,2016,Undergraduate,25.168,51.17,2
Portugal,2016,2016,Undergraduate,40.957,-7.9373,10
Poland,2016,2016,Undergraduate,52.442,19.72,6
Philippines,2016,2016,Undergraduate,17.181,121.256,69
Peru,2016,2016,Undergraduate,-12.664,-72.98,32
Paraguay,2016,2016,Undergraduate,-23.266,-58.409,5
Panama,2016,2016,Undergraduate,8.348,-81.005,6
Palestine,2016,2016,Undergraduate,,,3
Pakistan,2016,2016,Undergraduate,28.1854,66.6429,122
Oman,2016,2016,Undergraduate,19.85,56.25,5
Norway,2016,2016,Undergraduate,61.3701,9.3031,71
Nigeria,2016,2016,Undergraduate,9.3417,7.678,50
Niger,2016,2016,Undergraduate,16.996,9.915,1
Nicaragua,2016,2016,Undergraduate,12.692,-85.03,1
New Zealand,2016,2016,Undergraduate,-42.558,172.377,43
Netherlands,2016,2016,Undergraduate,52.1704,5.0102,58
Nepal,2016,2016,Undergraduate,28.2114,83.5608,9
Myanmar,2016,2016,Undergraduate,21.841,96.05,7
