APSC,3965,4027,4098,4229,4234,4314,4476,4531,4636,4713,43223
Domestic,3644,3667,3701,3774,3740,3770,3874,3833,3801,3731,37535
International,321,360,397,455,494,544,602,698,835,982,5688
ARTS,11015,11122,11233,11392,11415,11611,11921,11964,11977,12789,116439
Domestic,9720,9669,9684,9752,9747,9765,9887,9681,9414,9726,97045
International,1295,1453,1549,1640,1668,1846,2034,2283,2563,3063,19394
COMM,2269,2351,2546,2725,2846,2944,3169,3359,3586,3700,29495
Domestic,1881,1956,2096,2184,2242,2262,2325,2344,2375,2354,22019
International,388,395,450,541,604,682,844,1015,1211,1346,7476
DENT,125,159,201,261,268,255,220,198,171,156,2014
Domestic,123,157,198,258,265,252,216,193,165,152,1979
International,2,2,3,3,3,3,4,5,6,4,35
EDUC,861,875,824,838,870,923,1012,1094,1165,1183,9645
Domestic,841,850,790,801,825,870,954,1030,1088,1100,9149
International,20,25,34,37,45,53,58,64,77,83,496
FRST,461,496,511,556,588,682,711,779,879,926,6589
Domestic,416,440,444,466,485,557,540,574,629,640,5191
International,45,56,67,90,103,125,171,205,250,286,1398
LFS,1145,1174,1155,1177,1191,1333,1394,1405,1477,1518,12969
Domestic,1045,1071,1051,1056,1059,1178,1229,1208,1211,1223,11331
International,100,103,104,121,132,155,165,197,266,295,1638
MEDI,90,87,86,84,83,78,87,102,113,114,924
Domestic,89,86,86,83,81,77,86,101,113,113,915
International,1,1,,1,2,1,1,1,,1,9
PHAR,577,598,614,618,598,674,740,806,882,889,6996
Domestic,577,598,614,618,598,674,740,806,882,889,6996
International,,,,,,,,,,,
SCIE,6661,6639,6515,6890,6866,6829,7130,7364,7451,7776,70121
Domestic,6248,6176,6072,6404,6411,6356,6592,6697,6645,6691,64292
International,413,463,443,486,455,473,538,667,806,1085,5829
