Campus,Faculty Code,International/Domestic,Measure Names,Program,Program Type,Session Year,Student Level,Measure Values
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2006,Undergraduate,"3,126"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2007,Undergraduate,"3,259"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2008,Undergraduate,"3,340"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2009,Undergraduate,"3,486"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2010,Undergraduate,"3,478"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2011,Undergraduate,"3,486"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2012,Undergraduate,"3,591"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2013,Undergraduate,"3,550"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2014,Undergraduate,"3,515"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2015,Undergraduate,"3,451"
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2006,Undergraduate,28
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2007,Undergraduate,33
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2008,Undergraduate,42
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2009,Undergraduate,38
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2010,Undergraduate,33
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2011,Undergraduate,39
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2012,Undergraduate,45
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2013,Undergraduate,49
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2014,Undergraduate,52
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Environmental Design,Baccalaureate Degree,2015,Undergraduate,48
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2006,Undergraduate,490
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2007,Undergraduate,375
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2008,Undergraduate,319
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2009,Undergraduate,250
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2010,Undergraduate,229
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2011,Undergraduate,245
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2012,Undergraduate,238
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2013,Undergraduate,234
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2014,Undergraduate,234
Vancouver,APSC,Domestic,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2015,Undergraduate,232
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2006,Undergraduate,312
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2007,Undergraduate,352
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2008,Undergraduate,388
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2009,Undergraduate,446
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2010,Undergraduate,487
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2011,Undergraduate,535
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2012,Undergraduate,593
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2013,Undergraduate,686
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2014,Undergraduate,823
Vancouver,APSC,International,Headcount at November 1,Bachelor of Applied Science,Baccalaureate Degree,2015,Undergraduate,967
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2006,Undergraduate,2
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2007,Undergraduate,3
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2008,Undergraduate,5
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2009,Undergraduate,5
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2010,Undergraduate,5
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2011,Undergraduate,8
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2012,Undergraduate,6
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2013,Undergraduate,7
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Des.,Baccalaureate Degree,2014,Undergraduate,9
Vancouver,APSC,International,Headcount at November 1,Bachelor of Environmental Design,Baccalaureate Degree,2015,Undergraduate,11
Vancouver,APSC,International,Headcount at November 1,Bachelor of Science in Nursing,Baccalaureate Degree,2006,Undergraduate,7
